date,trip,month,year,time ,site ,kelp_pile_num,Dominant_species,kelp_L_m,kelp_W_m,kelp_D_m,ellipse_A_m2,sarg,sarg_L_1,sarg_W_1,sarg1_A,sarg_L_2,sarg_W_2,sarg2_A,sarg_L_3,sarg_W_3,sarg3_A,sarg_L_4,sarg_W_4,sarg4_A,sarg_total,ratio,percent
3/15/22,1,March,2022,1:29 PM,Artist,11,Stephanocystis spp.,1.39,0.54,0.08,1.203988713,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,12,Stephanocystis spp.,1.14,0.24,0.04,0.439405439,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,13,Stephanocystis spp.,1,0.42,0.06,0.67329866,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,14,Stephanocystis spp.,1.24,0.21,0.03,0.416371998,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,15,Stephanocystis spp.,1.6,0.45,0.04,1.143006013,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,16,Stephanocystis spp.,1.59,0.46,0.05,1.164362253,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,17,Stephanocystis spp.,2.35,0.41,0.08,1.554865361,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,18,M. pyrifera,1.03,0.46,0.09,0.768253352,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,19,Stephanocystis spp.,1.27,0.41,0.12,0.861321026,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,20,Stephanocystis spp.,1.35,0.89,0.15,1.944681856,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,1,M. pyrifera,1.47,0.56,0.25,1.425706713,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,2,M. pyrifera,1.27,0.67,0.26,1.460419067,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,3,M. pyrifera,2.65,0.5,0.22,2.267325803,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,4,M. pyrifera,3.78,2.81,0.26,16.92681167,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,5,M. pyrifera,4,0.65,0.34,4.548849978,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,6,M. pyrifera,1.17,0.57,0.16,1.106096506,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,7,M. pyrifera,1.32,0.53,0.25,1.222873604,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,8,M. pyrifera,3.62,1.73,0.34,10.16362778,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,9,M. pyrifera,2.85,0.5,0.17,2.374398727,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,10,M. pyrifera,2.23,0.63,0.18,2.31709134,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,11,M. pyrifera,1.3,0.52,0.13,1.109003951,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,12,M. pyrifera,2.51,0.68,0.27,2.896649047,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,13,M. pyrifera,1.33,0.33,0.1,0.726211608,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,4:35 PM,Artist,14,M. pyrifera,1.62,0.15,0.05,0.403464441,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,1,Phylospadix spp.,1.31,0.6,0.17,1.30313273,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,2,Phylospadix spp.,1.2,0.61,0.09,1.175981544,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,3,Phylospadix spp.,1.24,0.99,0.08,1.952898387,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,4,Phylospadix spp.,1.3,0.44,0.12,0.941948474,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,5,Phylospadix spp.,1.49,0.84,0.1,2.000926178,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,6,Phylospadix spp.,1.86,1.1,0.15,3.283414389,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,na,Artist,7,Phylospadix spp.,1.28,0.45,0.12,0.947490862,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/22,2,May,2022,No access,Cosign,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/22,2,May,2022,None Found,Bachelor,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,No access,Tranquility,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,No access,Cosign,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,1,M. pyrifera,7.51,1.65,0.68,21.07032834,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,2,Stephanocystis spp.,2.7,1.41,0.3,6.2092769,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,3,M. pyrifera,2.04,1.49,0.42,5.096483,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,4,Stephanocystis spp.,3.91,1.42,0.25,8.951148523,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,5,M. pyrifera,2.9,4.52,0.25,20.84760014,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,6,Phylospadix spp.,4.25,1.53,0.6,11.06761885,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,7,M. pyrifera,3.13,0.79,0.41,4.342253677,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,8,Phylospadix spp.,1.89,0.38,0.35,1.424282328,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,9,M. pyrifera,2.76,0.81,0.24,3.697957606,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,10,M. pyrifera,1.37,0.85,0.16,1.892398372,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,11,M. pyrifera,1.8,0.72,0.2,2.141100164,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,12,M. pyrifera,1.52,0.21,0.18,0.616868126,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,13,M. pyrifera,1.38,0.26,0.19,0.669286493,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,14,M. pyrifera,1.49,0.29,0.19,0.787761642,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,15,M. pyrifera,2.15,0.6,0.29,2.245050834,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,16,M. pyrifera,1.19,0.45,0.31,1.003222742,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,17,M. pyrifera,4.69,2.28,0.15,16.94077987,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,18,M. pyrifera,2.46,1.57,0.15,6.152410717,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,19,M. pyrifera,2.76,0.92,0.11,4.050420736,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/22,1,March,2022,5:39 PM,Bachelor,20,M. pyrifera,2.29,0.7,0.18,2.627505061,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,1,M. pyrifera,2.3,1.24,0.4,4.798796922,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,2,M. pyrifera,1.3,0.56,0.06,1.159905514,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,3,M. pyrifera,1.65,0.94,0.14,2.494852467,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,4,M. pyrifera,5.95,1.59,0.55,15.83401777,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,5,M. pyrifera,10.03,1.62,0.24,26.0016832,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,6,M. pyrifera,8.14,2.8,0.63,37.11788935,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,7,M. pyrifera,3.45,0.77,0.34,4.554616089,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,8,M. pyrifera,9.3,1.3,0.45,20.15640141,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,9,M. pyrifera,1.75,0.48,0.32,1.546575103,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,10,M. pyrifera,2.44,0.7,0.44,3.110155113,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,11,M. pyrifera,3.95,1.23,0.44,8.171393272,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,12,M. pyrifera,4.42,0.63,0.3,4.803732438,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,13,M. pyrifera,1.03,0.64,0.26,1.145532625,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,14,M. pyrifera,1.88,0.48,0.14,1.489320048,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/22,3,September,2022,1:34 PM,Bachelor,15,M. pyrifera,1.3,0.47,0.22,1.063924613,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,1,M. pyrifera,5.04,0.77,0.22,6.380245587,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,2,M. pyrifera,2.57,0.7,0.3,3.080399551,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,3,M. pyrifera,1.4,0.43,0.31,1.131470971,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,4,Phylospadix spp.,1.45,0.45,0.24,1.155255782,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,5,M. pyrifera,1.35,0.35,0.23,0.866220087,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,6,M. pyrifera,5.17,0.95,0.25,8.039059963,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,7,M. pyrifera,2.73,0.3,0.27,1.600518814,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,8,M. pyrifera,1.61,0.71,0.34,2.008417845,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,9,Phylospadix spp.,2.32,0.49,0.25,1.986444164,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,9:43 AM,Bachelor,10,M. pyrifera,2.58,1.17,1.41,6.839169104,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,1,Stephanocystis spp.,1.05,0.31,0.09,0.537651101,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,2,M. pyrifera,1.31,0.19,0.05,0.407104023,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,3,Stephanocystis spp.,1.1,0.26,0.03,0.45559108,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,4,M. pyrifera,1.12,0.3,0.01,0.530317982,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,5,Stephanocystis spp.,1.35,0.15,0.01,0.320475018,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,6,Stephanocystis spp.,1.61,0.51,0.03,1.299036783,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,7,Stephanocystis spp.,1.03,0.45,0.04,0.736444763,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,8,Stephanocystis spp.,1.3,0.26,0.03,0.538304312,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,9,S. horneri,1.15,0.36,0.1,0.682092539,y,0.18,0.23,0.032515484,0.17,0.15,0.020027653,0,0,0,0,0,0,0.052543137,0.077032271,7.703227054
3/15/22,1,March,2022,12:13 PM,Cissy,10,Stephanocystis spp.,1.22,0.18,0.05,0.360354377,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,11,Stephanocystis spp.,1.08,0.33,0.05,0.571449163,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,12,Stephanocystis spp.,1.33,0.22,0.02,0.464396042,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,13,Stephanocystis spp.,1.85,0.43,0.13,1.315437355,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,14,Stephanocystis spp.,1,0.48,0.05,0.764716632,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,15,Stephanocystis spp.,1.22,0.25,0.03,0.486090499,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,16,M. pyrifera,1.24,0.95,0.25,1.966263815,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,17,Stephanocystis spp.,1.14,0.54,0.22,1.05950735,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,18,Stephanocystis spp.,1.06,0.26,0.09,0.460939429,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,19,Stephanocystis spp.,1.7,0.4,0.1,1.110948771,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,12:13 PM,Cissy,20,Stephanocystis spp.,1.02,0.37,0.14,0.639900452,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,1,M. pyrifera,2.36,0.55,0.19,2.169599324,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,2,M. pyrifera,2.55,0.32,0.06,1.314275841,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,3,Stephanocystis spp.,1.18,0.55,0.17,1.08406037,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,4,M. pyrifera,1.41,0.6,0.15,1.388937372,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,5,M. pyrifera,5.69,1.92,0.24,17.44277751,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,6,M. pyrifera,4.63,0.55,0.19,4.242669676,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,7,M. pyrifera,1.96,0.56,0.07,1.751664549,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,8,M. pyrifera,2.4,0.96,0.05,3.643310032,y,0.33,0.02,0.005183628,0,0,0,0,0,0,0,0,0,0.005183628,0.00142278,0.142277982
5/11/22,2,May,2022,9:30 AM,Cissy,9,Phylospadix spp.,1,0.27,0.12,0.464360706,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,10,M. pyrifera,3,0.54,0.07,2.585177108,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,11,M. pyrifera,3.73,1.18,0.14,7.01890767,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/22,2,May,2022,9:30 AM,Cissy,12,Phylospadix spp.,1.59,0.64,0.07,1.621522115,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/22,4,December,2022,None Found,Cissy,1,na,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
9/13/22,3,September,2022,3:03 PM,Cissy,1,M. pyrifera,6.63,0.6,0.19,3.454572265,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,2,M. pyrifera,2.56,1.4,0.36,3.103930306,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,3,M. pyrifera,2.24,0.88,0.14,1.620510578,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,4,M. pyrifera,8,3.24,0.44,21.13306437,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,5,M. pyrifera,2.21,0.75,0.29,1.512003284,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,6,M. pyrifera,2.75,1.78,0.4,4.194127521,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,7,M. pyrifera,8.47,1.79,0.29,12.42180582,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,8,M. pyrifera,3.46,1.09,0.45,3.480577461,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,9,M. pyrifera,1.8,1.28,0.26,1.958669115,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,10,M. pyrifera,2.53,1.58,0.47,3.562436819,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,11,M. pyrifera,2.5,0.73,0.2,1.568899564,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/22,3,September,2022,3:03 PM,Cissy,12,M. pyrifera,1.7,0.78,0.29,1.213770341,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,a,M. pyrifera,1.8,0.67,,0.95,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,b,M. pyrifera,2.78,1,,2.18,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,c,M. pyrifera,2.16,1.96,,3.33,y,0.09,0.03,0.002120575,0,0,0,0,0,0,0,0,0,0.002120575,0.000636809,0.063680931
1/20/20,0,na,2020,NA,Cosign,d,M. pyrifera,1.97,1.54,,2.38,y,0.29,0.07,0.015943583,0.05,0.02,0.000785398,0,0,0,0,0,0,0.016728981,0.007028984,0.702898361
1/20/20,0,na,2020,NA,Cosign,e,M. pyrifera,1.2,0.61,,0.57,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,f,M. pyrifera,0.94,0.61,,0.45,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,g,M. pyrifera,1.07,0.6,,0.5,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,h,M. pyrifera,2.32,1.78,,3.24,y,0.35,0.14,0.03848451,0.28,0.1,0.021991149,0,0,0,0,0,0,0.060475659,0.018665327,1.866532685
1/20/20,0,na,2020,NA,Cosign,i,M. pyrifera,1.3,1.1,,1.12,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,j,M. pyrifera,1.4,0.67,,0.74,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,1,M. pyrifera,2.6,1.2,,2.45,y,0.25,0.16,0.031415927,0.1,0.05,0.003926991,0,0,0,0,0,0,0.035342918,0.014425681,1.442568082
1/20/20,0,na,2020,NA,Cosign,2,M. pyrifera,2.8,1.2,,2.64,y,0.5,0.3,0.117809725,0,0,0,0,0,0,0,0,0,0.117809725,0.044624896,4.462489583
1/20/20,0,na,2020,NA,Cosign,3,M. pyrifera,3.1,3.2,,7.79,y,1,1.2,0.942477796,0,0,0,0,0,0,0,0,0,0.942477796,0.120985596,12.09855964
1/20/20,0,na,2020,NA,Cosign,4,M. pyrifera,6,0.4,,1.88,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,5,M. pyrifera,1.9,1.15,,1.72,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,6,M. pyrifera,2.1,0.65,,1.07,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,7,M. pyrifera,2.2,1,,1.73,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,8,M. pyrifera,2.1,0.8,,1.32,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/20,0,na,2020,NA,Cosign,9,M. pyrifera,1.7,1.1,,1.47,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,12:30 PM,Cosign,1,M. pyrifera,1.06,0.5,0.06,0.84660252,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,12:30 PM,Cosign,2,M. pyrifera,1.41,0.83,0.21,1.933381051,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,12:30 PM,Cosign,3,M. pyrifera,1.17,0.82,0.23,1.605651262,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,12:30 PM,Cosign,4,M. pyrifera,1.41,0.66,0.29,1.617471347,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,12:30 PM,Cosign,5,M. pyrifera,1.05,0.83,0.14,1.414787514,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/22,4,December,2022,12:30 PM,Cosign,6,M. pyrifera,1,0.62,0.12,1.008896526,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
